Título,Duración,Dificultad,Ingredientes
Espinacas a la crema con huevos revueltos y patatas,54min,fácil,"['Patatas', 'Sal', 'Chalotes', 'Mantequilla', 'Espinacas', 'NataLíquida', 'Pimienta', 'NuezMoscada', 'Rallada', 'Huevos', 'LechePasteurizada', 'Agua', 'Mantequilla']"
Filetes escalfados con puré de raíz de perejil,1h 20min,medio,"['Puré', 'Raíz', 'Perejil', 'Sal', 'NataLíquida', 'NuezMoscada', 'Pimienta', 'Mantequilla', 'Carne', 'Salsa', 'Solomillo', 'Vacuno', 'Tomillo', 'Ajo', 'CaldoDeCarneRanos', 'PimientaNegra', 'Pimienta', 'Mantequilla']"
Piña colada,5min,fácil,"['Hielo', 'RonBlanco', 'Piña', 'NataLíquida', 'JarabeDeCoco', 'Piña', 'Envase', 'Cerezas', 'Cóctel', 'Manzana', 'Carambola']"
"Arroz picante con carne, pimiento y cebolla",33min,fácil,"['Cebolla', 'Ajo', 'PimientoRojo', 'AceiteDeOliva', 'CarnePicada', 'CaldoDeVerduras', 'TomateTriturado', 'Arroz', 'Vaporizado', 'Sal', 'Pimienta', 'PimentónPicante', 'Orégano']"
Pasta con guisantes y jamón,25min,fácil,"['Parmesano', 'Chalotes', 'NataLíquida', 'CaldoDeVerduras', 'Maicena', 'JamónCocido', 'Guisantes', 'Sal', 'Pimienta', 'Plumas']"
Patatas con quark a las hierbas,50min,fácil,"['Quark', 'HierbasAromáticas', 'Como', 'Alternativa', 'HierbasAromáticasPicadas', 'Cebolletas', 'Ajo', 'QuarkDesnatado', 'Mostaza', 'Aceite', 'Linaza', 'Sal', 'Pimienta', 'Patatas', 'Sal']"
Mantequilla de pimiento y tomate,5min,fácil,"['PimientoRojo', 'Tomates', 'Tomate', 'Mantequilla', 'Sal', 'HierbasProvenzales']"
Nidos de Pascua,2h 38min,medio,"['Levadura', 'Azúcar', 'Mantequilla', 'Leche', 'Harina', 'Huevo', 'Sal', 'Harina', 'Yema', 'Un', 'Huevo', 'NataLíquida', 'RollosGastados', 'Aluminio']"
Potaje oriental de garbanzos y coles de Bruselas,40min,fácil,"['Perejil', 'Menta', 'Hortalizas', 'Caldo', 'Cebolla', 'Ajo', 'Guindilla', 'OrejonesDeAlbaricoque', 'ColesDeBruselas', 'Garbanzos', 'Tomate', 'PimentónDulce', 'PimentónPicante', 'CominoMolido', 'CilantroMolido', 'AceiteDeOliva', 'Sal', 'ZumoDeLimón', 'CaldoDeVerduras', 'NataLíquida']"
Galletas de avellana con mermelada de albaricoque,1h 33min,fácil,"['Avellanas', 'Almendras', 'HarinaDeRepostería', 'Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'Levadura', 'Huevos', 'MermeladaDeAlbaricoque', 'Mantequilla', 'Harina']"
Sopa de fideos con verduras y albóndigas,47min,fácil,"['Perejil', 'Cebollas', 'Zanahorias', 'Apionabo', 'Raíz', 'Perejil', 'Aceite', 'CaldoDeVerduras', 'SalchichaDeCerdo', 'De', 'Brócoli', 'Coliflor', 'Guisantes', 'Pasta', 'Sopa', 'Sal', 'Pimienta']"
Mermelada de zanahoria y cítricos,2h 28min,fácil,"['Zanahorias', 'Jengibre', 'Limón', 'Naranja', 'AzúcarMoreno', 'Azúcar']"
Ensalada de zanahoria y manzana,10min,fácil,"['Manzanas', 'Zanahorias', 'AceiteVegetal', 'ZumoDeLimón', 'Azúcar']"
Puré de zanahoria y patata,44min,fácil,"['Perejil', 'Zanahorias', 'Patatas', 'Sal', 'Azúcar', 'Cebolla', 'Mantequilla', 'CaldoDePollo', 'NataLíquida', 'Pimienta']"
Pan al estilo mediterráneo,1h,fácil,"['Harina', 'Pan', 'Levadura', 'VinagreDeManzana', 'Aceite', 'Huevos', 'Queso', 'HierbasProvenzales', 'Sal', 'Mantequilla']"
Ensalada de arenque,1h 30min,fácil,"['Patatas', 'Sal', 'Cebolla', 'Manzanas', 'Pepinillos', 'NataAgria', 'Mayonesa', 'Yogur', 'EneldoPicado', 'Pimienta', 'Arenque', 'Matjes']"
Tarta de mermelada,1h 10min,fácil,"['HarinaDeRepostería', 'Levadura', 'Azúcar', 'Mantequilla', 'Huevo', 'Limón', 'Mermelada', 'Cereza', 'Harina', 'Mantequilla']"
Tarta de puerro con jamón,1h 52min,fácil,"['HornoS', 'QuesoGouda', 'Puerros', 'Cebollas', 'AceiteDeOliva', 'JamónCocido', 'NataLíquida', 'Huevos', 'Sal', 'Pimienta', 'HarinaDeReposteríaS.', 'Levadura', 'Mantequilla', 'Sal', 'Huevos']"
Rollitos de col rellenos de carne,1h 8min,fácil,"['Pan', 'Leche', 'Repollo', 'Sal', 'CarnePicada', 'Huevo', 'Pimienta', 'CaldoDeCarne', 'Maicena', 'HarinaDeRepostería', 'NataLíquida']"
Tortilla de patata,35min,fácil,"['Patatas', 'Cebolla', 'AceiteDeOliva', 'Huevos', 'Sal', 'Pimienta']"
Pan de patata con harina de espelta,2h 5min,fácil,"['Levadura', 'Azúcar', 'Patatas', 'HarinaDeEspelta', 'HarinaIntegral', 'Espelta', 'Sal', 'SiropeDeAgave', 'Harina']"
Kaiserschmarrn con pasas,25min,medio,"['Pasas', 'ZumoDeManzana', 'Huevos', 'Sal', 'Azúcar', 'AzúcarAvainillado', 'Leche', 'HarinaDeRepostería', 'Mantequilla', 'Almendra', 'AzúcarGlas']"
Sopa de pollo con pasta,47min,fácil,"['Cebollas', 'Zanahorias', 'Apio', 'Puerros', 'CaldoDeVerduras', 'PechugaDePollo', 'Fideos', 'Sopa', 'Sal', 'Pimienta', 'Perejil']"
Ensalada de mijo y lima,52min,fácil,"['Lechuga', 'Perejil', 'Mijo', 'CaldoDeVerduras', 'Cebolla', 'Pepino', 'TomatesCherry', 'QuesoFeta', 'Zumo', 'Limas', 'AceiteDeOliva', 'Sal', 'Pimienta']"
Bizcocho crujiente,2h,medio,"['Horno', 'Leche', 'Tibia', 'Levadura', 'Azúcar', 'AzúcarAvainillado', 'Huevos', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'HarinaDeRepostería', 'Azúcar', 'Mantequilla', 'AzúcarGlas']"
Quiche de avellanas y hierbas con cebolletas,2h 15min,fácil,"['Avellanas', 'Mantequilla', 'Harina', 'Huevo', 'Sal', 'Avellanas', 'Cebolletas', 'Mantequilla', 'Mozzarella', 'Hierbas', 'NataAgria', 'Huevos', 'Sal', 'Pimienta', 'Mantequilla', 'Harina']"
Terrina de pollo con brócoli y alcaparras,4h 12min,medio,"['PechugaDePollo', 'Brócoli', 'Perejil', 'Zanahorias', 'PanIntegral', 'Nata', 'Baja', 'Grasa', 'Yemas', 'Huevo', 'Sal', 'Pimienta', 'CominoMolido', 'SalsaWorcestershire', 'Alcaparras', 'Mantequilla']"
Albóndigas al estilo toscano,50min,fácil,"['Tomates', 'Racimo', 'Mozzarella', 'CarnePicada', 'Huevo', 'Sal', 'Pimienta', 'Tomillo', 'Orégano', 'Mejorana', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'TomateTriturado', 'CaldoDeVerduras', 'Tomillo', 'Orégano', 'Mejorana', 'Azúcar', 'Maicena', 'Sal', 'Pimienta', 'Aceite']"
Sopa de gyros,48min,fácil,"['Cebollas', 'Ajo', 'PimientosVerdes', 'Champiñones', 'AceiteDeOliva', 'Carne', 'Gyros', 'TomateTriturado', 'CaldoDeVerdurasFeta', 'Sal', 'Pimienta', 'NataLíquida']"
Ensalada de pepino,1h 10min,fácil,"['Pepino', 'Sal', 'Azúcar', 'Cebolla', 'PepinillosEnVinagre', 'NataAgria', 'EneldoPicado', 'Pimienta', 'Colores']"
Sopa de col rizada con zanahoria y patata,44min,fácil,"['ColRizada', 'Ajo', 'Cebolla', 'Mantequilla', 'Patatas', 'Zanahorias', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'NataAgria']"
Huevos con salsa de mostaza,37min,fácil,"['Huevos', 'Cebollas', 'Mantequilla', 'HarinaDeRepostería', 'CaldoDeVerduras', 'NataLíquida', 'Mostaza', 'Dijon', 'Sal', 'Pimienta', 'Perejil']"
Salmón al vapor con limoncillo,30min,fácil,"['LomoDeSalmón', 'Limoncillo', 'Guindillas', 'Chalotes', 'Tailandeses', 'Ajo', 'Champiñones', 'CaldoDeVerduras', 'Salsa', 'Pescado', 'ZumoDeLima', 'Azúcar', 'Palma', 'Pimienta', 'Blanca', 'Albahaca', 'Tailandesa']"
Salmón al vapor en lecho de espárragos,50min,fácil,"['Perejil', 'Parmesano', 'LomoDeSalmón', 'Lima', 'EspárragosBlancos', 'EspárragosVerdes', 'Ajo', 'AceiteDeOliva', 'Piñones', 'Pimienta', 'Blanca', 'Sal']"
Ensalada primaveral con espárragos en aliño de flores de saúco,35min,fácil,"['VinagreDeManzana', 'JarabeDe', 'Flores', 'Saúco', 'AceiteDeGirasol', 'NataLíquida', 'Sal', 'Pimienta', 'Azúcar', 'EspárragosBlancos', 'Ensalada', 'Cebollino']"
Sopa de verduras de primavera,40min,fácil,"['Perejil', 'Apio', 'Las', 'Apio', 'Zanahorias', 'Raíz', 'Perejil', 'Apio', 'Colinabo', 'Tierno', 'Patatas', 'Puerro', 'Coliflor', 'CaldoDeVerduras', 'Guisantes', 'Las', 'Sal', 'Pimienta', 'NataLíquida', 'Mantequilla']"
Yogur helado con arándanos y chocolate blanco,1h 20min,fácil,"['Yogur', 'ChocolateBlanco', 'Mascarpone', 'AzúcarAvainillado', 'Arándanos', 'ChocolateBlanco', 'Arándanos']"
Granizado de fresa,10min,fácil,"['Fresas', 'ZumoDeLimón', 'JarabeDe', 'Azúcar', 'ZumoDePiña', 'Hielo', 'Fresas', 'Limón']"
Yogur helado con mango y cereza,2h 15min,fácil,"['YogurGriego', 'Mangos', 'AzúcarAvainillado', 'Azúcar', 'Cerezas']"
Crema de queso fresco con aceitunas,10min,fácil,"['Sésamo', 'Sal', 'Albahaca', 'Ajo', 'AceitunasNegras', 'Queso', 'Yogur', 'Pimienta']"
Ensalada de salchicha,20min,fácil,"['Salchicha', 'PepinillosEnVinagre', 'Chóped', 'Mortadela', 'Mayonesa', 'Mayonesa', 'Mostaza', 'Azúcar', 'Sal', 'Pimienta']"
Papilla de hinojo con pavo,22min,fácil,"['Porción', 'Patatas', 'Hinojo', 'Carne', 'Pavo', 'Zumo', 'Fruta', 'AceiteVegetal']"
Helado de fresa y coco,5min,fácil,"['Zumo', 'Lima', 'JarabeDeCoco', 'AzúcarGlas', 'Fresas', 'NataLíquida', 'Coco', 'Fresas']"
Pan de claras,1h,fácil,"['Quark', 'Huevos', 'AlmendraMolida', 'LinazaTriturada', 'CrémorTártaro', 'SemillasDeChía', 'Sal', 'Mantequilla']"
Café helado a la caribeña,25min,fácil,"['CaféMolido', 'Helado', 'Vainilla', 'RonBlanco', 'Hielo']"
Ensalada de huevo,32min,fácil,"['Huevos', 'ZumoDeLimón', 'Sal', 'Pimienta', 'AceiteVegetal', 'Mostaza', 'MostazaPicante', 'Cebollino']"
Corona veteada al licor de huevo,1h 5min,fácil,"['Savarín', 'Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'Sal', 'Huevos', 'HarinaDeRepostería', 'Maicena', 'Levadura', 'Licor', 'Huevo', 'Cacao', 'Gota', 'Aroma', 'Ron', 'Mantequilla', 'Harina', 'AzúcarGlas']"
Bollos al vapor con salsa de vainilla,2h 11min,medio,"['Al', 'Vapor', 'Leche', 'HarinaDeRepostería', 'Azúcar', 'Levadura', 'Mantequilla', 'Huevo', 'Sal', 'Vainilla', 'Maicena', 'Leche', 'Azúcar', 'Huevo', 'Harina', 'Mantequilla']"
Daiquiri,4min,fácil,"['RonBlanco', 'ZumoDeLimón', 'JarabeDe', 'Azúcar', 'Hielo', 'Limón']"
Salsa de curry para salchichas,32min,fácil,"['Cebollas', 'Ajo', 'AceiteDeOliva', 'Curry', 'CayenaMolida', 'Sal', 'Tomates', 'Triturados', 'VinagreBalsámico', 'Miel', 'SalsaDeSoja', 'Tomate', 'JarabeDeRemolacha', 'ZumoDeManzana']"
Creps de panceta,35min,fácil,"['Leche', 'Huevos', 'Sal', 'HarinaDeRepostería', 'Panceta']"
Tabulé a la guindilla,1h 37min,fácil,"['Ensalada', 'Sémola', 'Cuscús', 'Perejil', 'Ajo', 'Cebollas', 'PimientoRojo', 'PimientoVerde', 'PimientosAmarillo', 'Calabacín', 'Champiñones', 'Tomates', 'ZumoDeLimón', 'AceiteVegetal', 'Sal', 'Pimienta', 'GuindillaMolida']"
Bolitas de anacardo y coco,50min,fácil,"['SiropeDeAgave', 'Coco', 'Anacardos', 'VainillaMolida', 'Sal', 'AceiteDeCoco', 'Coco']"
Salsa de camembert,5min,fácil,"['Cebolla', 'Tomates', 'Camembert', 'Tierno', 'Mantequilla', 'NataAgria', 'Sal', 'PimentónDulce', 'CayenaMolida']"
Ensalada César,30min,fácil,"['Ensalada', 'Lechuga', 'Romana', 'Beicon', 'Pan', 'Mantequilla', 'AceiteDeGirasol', 'Ajo', 'Anchoa', 'Yema', 'Huevo', 'ZumoDeLimón', 'Mostaza', 'SalsaWorcestershire', 'AceiteDeOliva', 'Sal', 'Pimienta', 'Azúcar', 'Parmesano', 'Un']"
Galletas de mantequilla,1h 40min,fácil,"['Vainilla', 'HarinaDeRepostería', 'Mantequilla', 'AzúcarGlas', 'Yemas', 'Huevo', 'Harina']"
Albóndigas de bretzel con patatas y col,2h 31min,medio,"['Patatas', 'Cebollas', 'Bretzel', 'Mantequilla', 'Leche', 'NuezMoscada', 'Huevos', 'PerejilPicado', 'PanRallado', 'Col', 'CaldoDeVerduras', 'NataLíquida', 'Sal', 'Pimienta', 'ArándanosRojos']"
Batido de manzanas asadas con jengibre,11min,fácil,"['Mantequilla', 'AzúcarMoreno', 'Manzanas', 'Jengibre', 'Recién', 'CanelaMolida', 'Avena', 'Yogur', 'ZumoDeManzana', 'Leche', 'Canela']"
Solomillo Stroganoff con tallarines,48min,fácil,"['SolomilloDeBuey', 'Tomates', 'Champiñones', 'Chalotes', 'Aceite', 'Mostaza', 'Nata', 'Pepinillos', 'Al', 'Eneldo', 'Sal', 'Pimienta', 'Tallarines', 'Pepinillo', 'Al', 'Eneldo']"
Brazo de gitano con crema de limón,1h 37min,medio,"['Huevos', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Maicena', 'Sal', 'Limón', 'Gelatina', 'Azúcar', 'NataLíquida', 'Azúcar']"
Batido de pera con plátano,10min,fácil,"['Hielo', 'PeraMaduras', 'Plátanos', 'ZumoDeLimón']"
Buey agridulce con beicon,2h 42min,fácil,"['Perejil', 'Cebollas', 'Beicon', 'Mantequilla', 'Carne', 'Buey', 'Guisar', 'HarinaDeRepostería', 'CervezaNegra', 'Pimienta', 'Mejorana', 'Laurel', 'Azúcar', 'Vinagre', 'VinoTinto', 'Sal']"
Sopa de guisantes con codillo,15h 5min,fácil,"['GuisantesAmarillos', 'Cebollas', 'Zanahorias', 'Apio', 'Patatas', 'Laurel', 'CodillosDeCerdoCurados', 'Puerro', 'Sal', 'Pimienta', 'Mejorana', 'Perejil']"
Crema bávara (postre alemán clásico),5h 22min,medio,"['Gelatina', 'Azúcar', 'Vainilla', 'Leche', 'Yemas', 'Huevo', 'NataLíquida']"
Batido de plátano y vainilla,5min,fácil,"['Plátanos', 'Leche', 'Helado', 'Vainilla', 'Chocolate']"
Mermelada de plátano con mazapán,45min,fácil,"['Limón', 'Mazapán', 'Plátanos', 'Azúcar']"
Mantequilla al ajo de oso,5min,fácil,"['Porción', 'Porción', 'Ajo', 'Mantequilla', 'Sal']"
Salsa de berenjena con cilantro,50min,fácil,"['AceiteVegetal', 'Berenjenas', 'Tomates', 'Ajo', 'Albahaca', 'Cilantro', 'Cebolla', 'YogurGriego', 'Limón', 'Sal', 'Pimienta']"
Apple pie,2h,fácil,"['HarinaDeRepostería', 'Mantequilla', 'Azúcar', 'Sal', 'CanelaMolida', 'Limón', 'Manzanas', 'AzúcarMoreno', 'HarinaDeRepostería', 'CanelaMolida', 'NuezMoscada', 'Leche', 'Mantequilla', 'Harina', 'Huevo']"
Pasta fresca al queso de Algovia con cebolla frita,1h 15min,fácil,"['Pasta', 'HarinaDeRepostería', 'Huevos', 'Sal', 'Cebolla', 'Frita', 'Cebollas', 'HarinaDeRepostería', 'Mantequilla', 'Queso', 'Alpino', 'Sal', 'Mantequilla', 'NataLíquida', 'Pimienta']"
Flores de mantequilla,1h 32min,medio,"['HarinaDeRepostería', 'Maicena', 'Levadura', 'Química', 'Mantequilla', 'Huevo', 'Azúcar', 'AzúcarAvainillado', 'NataLíquida', 'Cacao', 'Harina', 'Mantequilla']"
Bizcochitos de Adviento con chocolate rallado,1h 15min,fácil,"['Almendras', 'Mantequilla', 'AzúcarGlas', 'AzúcarAvainillado', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'ChocolateBlanco', 'ChocolateConLeche', 'AlmendraPicada']"
Solomillo de ternera en salsa de tomate,47min,fácil,"['Perejil', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Tomate', 'TomateTriturado', 'Orégano', 'Sal', 'Pimienta', 'Solomillo', 'Ternera', 'Mantequilla']"
Rosbif,1h 5min,fácil,"['Harina', 'MostazaMolida', 'Sal', 'Pimienta', 'Mantequilla', 'Carne', 'Rosbif', 'VinoTinto']"
Tallarines con salsa de carne,1h 13min,fácil,"['Apio', 'Zanahoria', 'Cebolla', 'Panceta', 'Mortadela', 'AceiteDeOliva', 'CarnePicadaDeCerdo', 'CarnePicadaDeTernera', 'CaldoDeVerduras', 'TomateTriturado', 'Sal', 'Pimienta', 'Tallarines']"
Crema de vainilla,2h 17min,fácil,"['Azúcar', 'AzúcarAvainillado', 'Leche', 'Maicena', 'YemaDeHuevo', 'Tira', 'Un', 'Limón']"
Canelones,3h 5min,difícil,"['Pasta', 'HarinaDeRepostería', 'SémolaDeTrigo', 'Sal', 'AceiteDeOliva', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Albahaca', 'TomateTriturado', 'Azúcar', 'Orégano', 'Mejorana', 'Sal', 'Pimienta', 'Mantequilla', 'HarinaDeRepostería', 'Leche', 'Sal', 'Pimienta', 'NuezMoscada', 'ZumoDeLimón', 'CarnePicadaDeTernera', 'Sal', 'Pimienta', 'SalchichasDeCerdo', 'Cebolla', 'Apio', 'Zanahoria', 'AceiteDeOliva', 'VinoTinto', 'Harina', 'Sémola', 'Superficie', 'Trabajo', 'Parmesano', 'Sal', 'Agua', 'Pasta']"
Paquetitos de col rellenos de carne y arroz,1h 43min,medio,"['Paquetitos', 'Col', 'Repollo', 'Col', 'Sal', 'Arroz', 'Laurel', 'Pimienta', 'CarnePicadaDeCerdo', 'Pimienta', 'Salsa', 'HarinaDeRepostería', 'Tomate', 'NataLíquida', 'Sal', 'Pimienta']"
Tarta de queso con frutas,4h 15min,fácil,"['Queso', 'Gelatina', 'Limón', 'Azúcar', 'NataLíquida', 'Yogur', 'Quark', 'GalletasDeMantequilla', 'Mantequilla', 'Gelatina', 'Fruta', 'Mantequilla']"
Salsa de yogur con ajo,5min,fácil,"['Ajo', 'Yogur', 'Mayonesa', 'VinagreDeManzana', 'Sal', 'Azúcar', 'Pimienta', 'Blanca']"
Corona de yogur,1h 25min,fácil,"['Fruta', 'HarinaDeRepostería', 'Huevos', 'Azúcar', 'AzúcarAvainillado', 'Yogur', 'AceiteVegetal', 'Levadura', 'Mantequilla', 'PanRallado', 'AzúcarGlas']"
Solomillo en salsa de mostaza,1h 7min,fácil,"['SolomilloDeCerdo', 'Champiñones', 'Cebolla', 'Ajo', 'Maicena', 'Leche', 'Nata', 'Baja', 'Grasa', 'CaldoDePollo', 'Sal', 'Pimienta', 'Mostaza', 'MostazaPicante', 'AceiteVegetal']"
Salsa de champiñones,34min,fácil,"['Champiñones', 'Hierbas', 'Cebollas', 'Ajo', 'Mantequilla', 'HarinaDeRepostería', 'NataLíquida', 'Hojitas', 'Tomillo', 'Sal', 'Pimienta']"
Buñuelos de manzana,55min,fácil,"['Leche', 'Tibia', 'Azúcar', 'Levadura', 'HarinaDeRepostería', 'Sal', 'Huevo', 'Manzanas', 'HarinaDeRepostería', 'Aceite', 'Azúcar', 'Canela']"
Solomillo con salsa de mostaza,8h 48min,fácil,"['SolomilloDeCerdo', 'MostazaDeDijon', 'Cebolla', 'AceiteVegetal', 'Nata', 'AceiteVegetal']"
Pastel sorpresa,1h 25min,fácil,"['Avellanas', 'Gruyer', 'AceitunasNegras', 'JamónCocido', 'HarinaDeReposteríaS', 'Levadura', 'AceiteDeOliva', 'Leche', 'Huevos', 'Sal', 'Pimienta', 'AceiteDeOliva']"
Cookies de chocolate con pacanas,1h 16min,fácil,"['ChocolateNegro', 'Pacanas', 'Mantequilla', 'AzúcarMoreno', 'Azúcar', 'AzúcarAvainillado', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Cacao']"
Pan rápido,1h 5min,fácil,"['Levadura', 'HarinaDeRepostería', 'Sal', 'Sésamo', 'Mantequilla', 'PanRallado']"
Chucrut con salmón,40min,medio,"['Patatas', 'Pescado', 'Sal', 'Pimienta', 'LomoDeSalmón', 'AceiteDeOliva', 'Pimienta', 'Chucrut', 'Cebollino', 'Nata', 'Mostaza']"
Rollitos de ternera,1h 42min,medio,"['Ternera', 'Mostaza', 'Pimentón', 'Sal', 'Pimienta', 'Beicon', 'Mantequilla', 'Ternera', 'Cebolla', 'Ajo', 'Zanahoria', 'Champiñones', 'Tomate', 'Ramillete', 'HierbasAromáticas', 'HarinaDeRepostería']"
Pollo al riesling,1h 48min,medio,"['Perejil', 'Tomillo', 'Mantequilla', 'Chalotes', 'VinoBlanco', 'Riesling', 'CaldoDeAve', 'Muslos', 'Pollo', 'Sal', 'Champiñones', 'NataLíquida', 'Maicena', 'ZumoDeLimón', 'Pimienta', 'AceiteVegetal']"
Crema de caballa,15min,fácil,"['Cebollino', 'Caballa', 'Las', 'Espinas', 'Queso', 'Fundir', 'Mostaza', 'Vinagre', 'Sal', 'Pimienta']"
Salmón con patatas y crema de champiñones,52min,medio,"['Patatas', 'Sal', 'LomoDeSalmón', 'ZumoDeLimón', 'Pimienta', 'Champiñones', 'Chalotes', 'Mantequilla', 'Maicena', 'CaldoDeVerduras', 'NataLíquida', 'Queso', 'NuezMoscada', 'Mantequilla']"
Chocolate caliente,10min,fácil,"['Tazas', 'Tazas', 'ChocolateNegro', 'Leche']"
Pollo con salsa de verduras,39min,fácil,"['Perejil', 'Zanahorias', 'Apio', 'CaldoDeAve', 'PechugaDePollo', 'Sal', 'Pimienta', 'Champiñones', 'HarinaDeRepostería', 'Nata', 'SalsaWorcestershire', 'ZumoDeLimón', 'Mantequilla']"
Gratinado de carne picada y puré de patata,1h 23min,fácil,"['CarnePicada', 'Restos', 'CarneDa', 'Perejil', 'Cebolla', 'Mantequilla', 'Sal', 'Pimienta', 'Puré', 'Patatas', 'Leche', 'Sal', 'Pimienta', 'Mantequilla', 'Mantequilla', 'PanRallado', 'Queso']"
Puré de hortalizas,35min,fácil,"['Patatas', 'Hortalizas', 'Leche', 'Sal', 'NuezMoscada', 'Mantequilla']"
Crema de queso fresco con rabanitos,5min,fácil,"['Rabanitos', 'Cajita', 'Brotes', 'Berros', 'Queso', 'Sal', 'Pimienta']"
Charlota de fresas,3h 30min,medio,"['Gelatina', 'Fresas', 'NataLíquida', 'Soletilla', 'Azúcar', 'Lima', 'Vainilla', 'SalsaDeFresa']"
Pechuga de pato a la naranja,47min,medio,"['Naranjas', 'Pechugas', 'Pavo', 'Sal', 'Pimienta', 'Cebolla', 'Zanahoria', 'Mantequilla', 'LicorDeNaranja', 'VinagreDeVinoBlanco', 'Azúcar', 'Mantequilla']"
Flan de huevo,2h 15min,medio,"['Limón', 'Azúcar', 'Leche', 'HuevosS']"
Crema catalana,3h 25min,medio,"['Azúcar', 'Vainilla', 'Leche', 'Yemas', 'Huevo', 'NataLíquida', 'AzúcarMorenoS', 'Un', 'Soplete', 'Repostería']"
Chucrut alsaciano,1h 19min,fácil,"['Cebollas', 'Ajo', 'MantecaDeCerdo', 'U', 'Oca', 'Chucrut', 'VinoBlanco', 'Tomillo', 'Cilantro', 'CominoMolido', 'HojaDeLaurel', 'Clavos', 'Enebrinas', 'Pimienta', 'Patatas', 'ChuleteroDeCerdo', 'PaletaDeCerdo', 'Sal', 'Pimienta', 'Tocino', 'Panceta', 'Salchichas', 'Alemanas', 'Precocinadas', 'Salchichas', 'Estrasburgo']"
Tortitas americanas,35min,fácil,"['Mantequilla', 'Leche', 'Huevos', 'Azúcar', 'HarinaDeRepostería', 'Levadura', 'Sal', 'Mantequilla', 'Sartén']"
Croquetas de jamón,8h 57min,medio,"['Huevos', 'JamónSerrano', 'Cebolla', 'AceiteDeOliva', 'Mantequilla', 'HarinaDeRepostería', 'Leche', 'NuezMoscada', 'Pimienta', 'Sal', 'Huevos', 'PanRallado', 'Aceite']"
Muslos de pollo con salsa de tomate y pimiento,1h 4min,fácil,"['Salsa', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Beicon', 'PimientoVerde', 'PimientoAmarillo', 'Tomate', 'Sal', 'GuindillaMolida', 'Hierbas', 'Muslos', 'Pollo', 'Muslos', 'Pollo', 'Sal', 'Hierbas', 'Pimienta', 'AceiteVegetal']"
Bacalao al ajoarriero,1h 10min,medio,"['LomoDes', 'Bacalao', 'SaladoConÑoras', 'Cebolla', 'Ajo', 'PimientosVerdes', 'Guindilla', 'Patata', 'PimientosDelPiquillo', 'AceiteDeOliva', 'Sal', 'TomateTriturado', 'Aceite']"
Crema de patata con panceta,1h,fácil,"['Perejil', 'Hortalizas', 'Caldo', 'Cebolla', 'Panceta', 'AzúcarMoreno', 'AceiteDeOliva', 'Patatas', 'Ajedrea', 'CaldoDeVerduras', 'Sal', 'NataLíquida', 'NuezMoscada', 'Pimienta']"
Leche merengada,1h 50min,fácil,"['ClarasDeHuevo', 'Limón', 'Leche', 'Ramita', 'Canela', 'Azúcar', 'CanelaMolida']"
Potaje de alubias,13h 5min,fácil,"['Judiones', 'Granja', 'Bicarbonato', 'Ajo', 'AceiteDeOliva', 'PimentónDulce', 'Patata', 'Zanahoria', 'Tomate', 'PimientoVerde', 'Cebolla', 'Laurel', 'ChorizosPicantes', 'Si', 'Lo', 'Desea', 'Panceta', 'Sal', 'Pimienta']"
Judiones de la Granja,13h 15min,fácil,"['Judiones', 'Granja', 'Perejil', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'PimentónDulce', 'Sal', 'HojaDeLaurel', 'CarneDeCerdo', 'Chorizo', 'Sal', 'Pimienta']"
Gazpacho manchego,1h 20min,fácil,"['Liebre', 'PerdizConejo', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Cebolla', 'Ajo', 'Tomates', 'PimientoVerde', 'Tomillo', 'Romero', 'HojaDeLaurel', 'PimientaNegra', 'Tortas', 'Gazpacho']"
Marmitako de atún,59min,fácil,"['Tomates', 'Cebolla', 'Ajo', 'PimientosVerdes', 'AceiteDeOliva', 'Patatas', 'Pimentón', 'Caldo', 'Pescado', 'Sal', 'Pimienta', 'Atún', 'Rodajas']"
Atún encebollado,40min,fácil,"['Cebollas', 'AceiteDeOliva', 'Sal', 'Rodajas', 'Gruesas', 'Atún', 'VinoBlanco', 'Vinagre', 'Jerez', 'Pimienta']"
Ventresca de bonito en salsa de tomate,40min,fácil,"['Ventresca', 'Bonito', 'Sal', 'Cebollas', 'Ajo', 'Guindilla', 'PimientoVerde', 'AceiteDeOliva', 'Azúcar', 'TomateTriturado', 'Pimienta']"
Sopa dulce de almendras,1h,fácil,"['Azúcar', 'Maicena', 'Leche', 'Canela', 'Almendras', 'Almendra']"
